id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
84,Centro Socio Cultural Josefa Ortiz de Domínguez,35,Huehuetoca,-99.18415,19.82162,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
85,Centro Socio Cultural de Artes José Pablo Moncayo,35,Huehuetoca,-99.21887,19.83369,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
86,Casa de Cultura Fernando de Alba Ixtlilxóchitl,36,Hueypoxtla,-99.07832,19.90782,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
87,Casa de Cultura El Jagüey,37,Huixquilucan,-99.3046,19.38479,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
88,Casa de Cultura Sor Juana Inés de la Cruz,37,Huixquilucan,-99.34092,19.35765,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
89,Casa de Cultura Isidro Fabela,38,Isidro Fabela,-99.41833,19.55554,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
90,Casa de la Cultura Ixtapaluca,39,Ixtapaluca,-98.88401,19.31482,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
91,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76784,19.56908,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
92,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76917,19.56981,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
97,Casa de Cultura Lic. Diego de Nájera Yanguas,48,Jocotitlán,-99.7862,19.71051,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
98,Casa de Cultura Ángel Zamora Espinosa,50,Juchitepec,-98.88124,19.0988,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
99,Casa de Cultura Profr. Adrián Ortega Monroy,51,Lerma,-99.515,19.28684,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
101,Casa de Cultura Maximiano Sánchez y Pérez,53,Melchor Ocampo,-99.1468,19.69868,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
103,Casa Tunastral,54,Metepec,-99.59714,19.25286,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
104,Casa de Cultura de Mexicaltzingo,55,Mexicaltzingo,-99.58863,19.20814,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
