id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo
193,Casa de Cultura Pedro Labrada Cervantes,104,Tlalnepantla de Baz,-99.08512,19.5316,centros culturales
194,Casa de Cultura Lázaro Cárdenas,104,Tlalnepantla de Baz,-99.11942,19.53437,centros culturales
195,Casa de Cultura José María Velasco,104,Tlalnepantla de Baz,-99.21174,19.5708,centros culturales
196,Casa de Cultura Luis Donaldo Colosio,104,Tlalnepantla de Baz,-99.18746,19.57206,centros culturales
197,Casa de Cultura Sor Juana Inés de la Cruz,104,Tlalnepantla de Baz,0.0,0.0,centros culturales
198,Casa de Cultura Lic. Javier Pérez Olegaray,104,Tlalnepantla de Baz,-99.18502,19.5524,centros culturales
199,Casa de Cultura El Arenal,104,Tlalnepantla de Baz,-99.16408,19.53008,centros culturales
200,Casa de Cultura José C. Ángeles,104,Tlalnepantla de Baz,-99.0887,19.51612,centros culturales
201,Casa de Cultura Lomas de San Andrés,104,Tlalnepantla de Baz,-99.22721,19.54295,centros culturales
202,Casa de Cultura San Felipe Ixtacala,104,Tlalnepantla de Baz,-99.17136,19.52161,centros culturales
203,Casa de Cultura Prado Vallejo,104,Tlalnepantla de Baz,-99.16581,19.50594,centros culturales
204,Casa de Cultura Guillermo Padilla Díaz de León,104,Tlalnepantla de Baz,-99.17366,19.55109,centros culturales
205,Centro Cultural Iztacala,104,Tlalnepantla de Baz,0.0,0.0,centros culturales
206,Casa de Cultura Izcalli Pirámide,104,Tlalnepantla de Baz,-99.17432,19.54222,centros culturales
207,Centro Cultural Rombo Negro,104,Tlalnepantla de Baz,-99.195,19.53852,centros culturales
208,Casa de Cultura Loma Bonita (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.17836,19.55936,centros culturales
209,Casa de Cultura San Lucas Tepetlacalco (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.22711,19.52434,centros culturales
210,Casa de Cultura Vista Hermosa,104,Tlalnepantla de Baz,-99.22293,19.51843,centros culturales
211,Centro Tolzú,106,Toluca,-99.65236,19.29028,centros culturales
212,Centro Toluqueño de Escritores,106,Toluca,-99.65605,19.29122,centros culturales
213,Centro Regional de Cultura de Toluca,106,Toluca,-99.65369,19.27205,centros culturales
214,Alianza Francesa de Toluca,106,Toluca,-99.65938,19.29162,centros culturales
215,Centro Cultural del ISSSTE de Toluca,106,Toluca,-99.67005,19.29045,centros culturales
216,Centro de Actividades Culturales (CEAC),106,Toluca,-99.65159,19.28634,centros culturales
217,Centro Cultural Universitario Casa de las Diligencias,106,Toluca,-99.65431,19.29183,centros culturales
218,Casa de Cultura de Cacalomacán,106,Toluca,-99.7081,19.25369,centros culturales
219,Centro Cultural Mexiquense,106,Toluca,-99.70252,19.27197,centros culturales
220,Centro Cultural Tonatiuh,107,Tonatico,-99.67076,18.80207,centros culturales
221,Casa de Cultura Reynalda Morales,107,Tonatico,-99.67083,18.80202,centros culturales
222,Casa de Cultura Víctor Manuel Urbán Velazco,108,Tultepec,0.0,0.0,centros culturales
223,Casa de Cultura Tultitlán,109,Tultitlán,-99.16456,19.64379,centros culturales
224,Centro Cultural Ágora Elena Poniatowska,109,Tultitlán,-99.09313,19.67412,centros culturales
225,Casa de Cultura y Biblioteca Real del Bosque,109,Tultitlán,-99.14063,19.61654,centros culturales
226,Centro Regional de Cultura Joaquín Arcadio Pagaza,110,Valle de Bravo,0.0,0.0,centros culturales
227,Casa de Cultura Attezi,111,Villa de Allende,0.0,0.0,centros culturales
228,Casa de la Cultura Dr. Jorge Jiménez Cantú,112,Villa del Carbón,0.0,0.0,centros culturales
229,Casa de Cultura Tecualoyan,113,Villa Guerrero,-99.64233,18.9621,centros culturales
230,Casa de Cultura Miguel Ángel Martínez,114,Villa Victoria,0.0,0.0,centros culturales
231,Casa del Pueblo,114,Villa Victoria,0.0,0.0,centros culturales
232,Casa de Cultura Xonacatlán,115,Xonacatlán,0.0,0.0,centros culturales
233,Casa de la Cultura Sor Juana Inés de la Cruz,116,Zacazonapan,-100.25554,19.07078,centros culturales
234,Casa de la Cultura Joaquín Velázquez Cárdenas y León,117,Zacualpan,-99.77493,18.72368,centros culturales
235,Casa de Cultura Matilde Zuñiga,118,Zinacantepec,0.0,0.0,centros culturales
236,Casa de la Cultura Wenceslao Labra,120,Zumpango,-99.10123,19.79969,centros culturales
237,Centro Regional de Cultura de Cuautitlán Izcalli,121,Cuautitlán Izcalli,-99.20536,19.6581,centros culturales
238,Casa de Cultura de Tononitla,125,Tonanitla,-99.05064,19.68721,centros culturales
239,Fonoteca del Sistema de Radio y Televisión Mexiquense,54,Metepec,0.0,0.0,fonoteca
240,Fototeca del Centro de Documentación e Investigación de la Comunidad Judío de México,57,Naucalpan de Juárez,-99.23821,19.42323,fototeca
241,Fototeca del Centro de Estudios Teotihuacanos,75,San Martín de las Pirámides,-98.86082,19.71209,fototeca
242,Fototeca del Museo Nacional del Virreinato,95,Tepotzotlán,-99.22166,19.71318,fototeca
243,Fototeca del Centro INAH Estado de México (CINAHEM),106,Toluca,-99.65831,19.28977,fototeca
244,Galería del Centro Regional de Cultura Atizapán de Zaragoza,13,Atizapán de Zaragoza,-99.23544,19.57215,galeria
245,Galeria de Arte del Genoma Mesoamericano,33,Ecatepec de Morelos,-99.05199,19.59686,galeria
246,"Galería de la Alianza Francesa, Suc. Interlomas",37,Huixquilucan,-99.26934,19.40277,galeria
247,Galería de Arte y Antiguedades Tarentum,37,Huixquilucan,-99.27008,19.40219,galeria
248,Recoleta Gouda Art Gallery,37,Huixquilucan,-99.27047,19.40121,galeria
249,Galería Bertozzi,37,Huixquilucan,-99.28156,19.40385,galeria
250,Sala de Exposición Xochipilli,39,Ixtapaluca,-98.88408,19.31729,galeria
251,Galería Leopoldo Flores,42,Ixtlahuaca,-99.75453,19.57291,galeria
252,Galería Andrés Molina,52,Malinalco,-99.50096,18.95215,galeria
253,"MONOMONO, Galería de Arte y Estudio",54,Metepec,-99.61049,19.25835,galeria
254,Galería Carlos & Albert Metepec,54,Metepec,-99.60572,19.26699,galeria
255,Galería de Arte,54,Metepec,-99.59137,19.2503,galeria
256,Sala de Arte Emma Rizo,57,Naucalpan de Juárez,-99.24713,19.48418,galeria
257,Sala de Arte Javier Barros Sierra,57,Naucalpan de Juárez,-99.24741,19.4844,galeria
258,Casa de Arte y Galería ÓLEO,57,Naucalpan de Juárez,-99.25021,19.51723,galeria
259,Galería Taquera,58,Nezahualcóyotl,-99.01594,19.40859,galeria
260,Galería José Luis Cuevas,104,Tlalnepantla de Baz,-99.19575,19.53642,galeria
261,"Galería de Arte del Tecnológico de Monterrey, campus Toluca",106,Toluca,-99.70635,19.27001,galeria
262,Galería Universitaria Fernando Cano,106,Toluca,-99.65365,19.28586,galeria
263,Galería de arte de la plaza González Arratia,106,Toluca,-99.65783,19.291,galeria
264,Tollocan Galería,106,Toluca,-99.67332,19.28035,galeria
265,Galería Cafetería,106,Toluca,-99.7032,19.27163,galeria
266,Galería Arte AIT,106,Toluca,-99.56874,19.33411,galeria
267,Galeria Tatiana H. Rajkov,110,Valle de Bravo,-100.12381,19.1637,galeria
268,Victoria Gallery,110,Valle de Bravo,-100.13017,19.18957,galeria
269,Galería Venado Azul,110,Valle de Bravo,-100.12874,19.1898,galeria
270,Arthouse Gallery,110,Valle de Bravo,-100.12841,19.18825,galeria
271,Museo Regional de Acambay Antonio Ruiz Pérez,1,Acambay de Ruíz Castañeda,-99.84583,19.95528,museo
272,Museo Virreinal de Acolman,2,Acolman,-98.91309,19.63218,museo
273,Museo Prehistórico de Tepexpan,2,Acolman,-98.9474,19.61377,museo
274,Museo de Sor Juana Inés de la Cruz,9,Amecameca,-98.77167,19.14163,museo
275,Museo Internacional de los Volcanes,9,Amecameca,-98.7726,19.14051,museo
276,Museo de Historia Natural de Casa del Pueblo Amecameca,9,Amecameca,-98.77551,19.13211,museo
277,Museo Arqueológico Apaxco,10,Apaxco,-99.17455,19.97585,museo
278,Museo Adolfo López Mateos,13,Atizapán de Zaragoza,-99.24807,19.56311,museo
279,Museo Isidro Fabela,14,Atlacomulco,-99.87367,19.79841,museo
280,Museo Histórico de Atlacomulco,14,Atlacomulco,-99.8805,19.79843,museo
281,Museo Paleontológico Comunitario de la Magdalena Huizachitla,20,Coacalco de Berriozábal,-99.08886,19.63482,museo
282,"Santuario de la Siempre Virgen María de Guadalupe, Casa de San Juan Diego",24,Cuautitlán,-99.19189,19.66826,museo
283,Casa Museo de Cartonería,25,Chalco,-98.93202,19.21113,museo
284,Museo del Centro Regional de Cultura de Chalco Chimalpahin,25,Chalco,-98.89952,19.26293,museo
